ads_save_way,ads_shape
키워드 : 역삼 한판도,URL 입력
키워드 : 강남 응야끼도리,URL 입력
키워드 : 서귀포 소색채본,URL 입력
키워드 : 공덕 맛집 우대포,URL 입력
키워드 : 종로맛집 오레노야끼,URL 입력
키워드 : 속초 맛집 조개상회 본점,URL 입력
키워드 : 역삼역 맛집 우대한식당,URL 입력
키워드 : 제주공항맛집 제주에가면,URL 입력
키워드 : 방이동맛집 옛촌매운갈비찜,URL 입력
키워드 : 구미 맛집 보석갈비,URL 입력
키워드 : 송도 맛집 노이,URL 입력
키워드 : 홍대 술집 작심,URL 입력
키워드 : 구래동 맛집 육고집,URL 입력
키워드 : 신림 맛집 수지상회,URL 입력
키워드 : 부천역 맛집 핵밥,URL 입력
키워드 : 서귀포 맛집 모루쿠다,URL 입력
키워드 : 강남역 맛집 응야끼도리,URL 입력
키워드 : 서귀포 카페 소색채본,URL 입력
키워드 : 상봉 맛집 수지상회,URL 입력
키워드 : 성균관대역 맛집 핵밥,URL 입력
키워드 : 성균관대 핵밥,URL 입력
키워드 : 영등포 크리드짐,URL 입력
키워드 검색 URL 입력,URL 입력
플레이스 저장 후 URL 입력하기 (리스트 공개 필수),URL 입력
플레이스 저장 후 URL입력,URL 입력
플레이스 저장 후 공유 URL 입력,URL 입력
플레이스 저장 후 공유리스트 URL 복사,URL 입력
카카오맵 접속 후 URL 입력,URL 입력
네이버 플레이스 URL 입력하기,URL 입력
네이버맵 길찾기 후 공유 URL 제출하기,URL 입력
저장 후 공유 URL 입력,URL 입력
플레이스 URL 입력완료 시 ,URL 입력
네이버맵 공유 URL 입력,URL 입력
네이버 플레이스 저장 후 URL 입력하기,URL 입력
리뷰 전체보기 클릭 후 URL 제출,URL 입력
플레이스 접속 후 URL 입력하기,URL 입력
플레이스 URL 입력하기,URL 입력
상담,개인정보 제공
자동차 보험료 산출 완료,개인정보 제공
미래에셋증권 계좌개설 완료,개인정보 제공
상담 신청,개인정보 제공
카드 등록,개인정보 제공
계좌 인증,개인정보 제공
상담신청,개인정보 제공
가입 후 상승유망주 매일 1종목씩 받기,개인정보 제공
카드자산 연결,개인정보 제공
차량번호 조회 완료,개인정보 제공
내 보험금 확인하기,개인정보 제공
머니트리카드 신청,개인정보 제공
머니트리카드 발급 신청 완료,개인정보 제공
여행보험 가입,개인정보 제공
펀드서비스 가입,개인정보 제공
운전자보험 가입,개인정보 제공
무료 보험가입 상담신청,개인정보 제공
한도조회 완료,개인정보 제공
내 보험 조회,개인정보 제공
보험조회,개인정보 제공
환급금 조회,개인정보 제공
최초 회원가입 후 계좌등록,개인정보 제공
온라인 신청서 작성 완료,개인정보 제공
개인사업자 사장님 부동산 담보대출 조회,개인정보 제공
계좌개설,개인정보 제공
부가서비스 가입,개인정보 제공
USIM스마트인증 가입,개인정보 제공
내 차 보험료 조회하면,개인정보 제공
정부환급금 조회,개인정보 제공
사장님 부동산 담보 대출 조회,개인정보 제공
보험료 조회,개인정보 제공
의료비 예측 신청,개인정보 제공
상담 신청 완료,개인정보 제공
개인사업자 대상 환급금 조회 완료,개인정보 제공
계좌 개설,개인정보 제공
사장님 부동산 담보대출 완료,개인정보 제공
카드 신청,개인정보 제공
보험 상담 신청,개인정보 제공
내 차 보험료 계산,개인정보 제공
사장님통장 최초 개설,개인정보 제공
운세 알아보기,개인정보 제공
지지서명 하기,개인정보 제공
전화번호 끝 4자리 입력,개인정보 제공
설문조사,개인정보 제공
전화번호 끝 4자리 입력하기,개인정보 제공
전화번호 맞추기,개인정보 제공
전화번호 입력하기,개인정보 제공
플레이스 진입 후 리뷰어 닉네임 입력,개인정보 제공
사전등록,개인정보 제공
사전예약,개인정보 제공
무료체험 신청,개인정보 제공
PASS 본인인증을 완료,개인정보 제공
사전 예약,개인정보 제공
참여자 사전 신청,개인정보 제공
반려동물 등록,개인정보 제공
인증 완료 후 AI 광고 만들기 버튼 클릭,개인정보 제공
설문조사 완료,개인정보 제공
운세 보기,개인정보 제공
설문 참여,개인정보 제공
마켓 사전예약,개인정보 제공
꽝없는 현금 이벤트,개인정보 제공
만18세이상,개인정보 제공
자동차보험 가입,결제
T올케어 보험 가입(SKT만),결제
미래에셋 ETF 어린이 회원 신청,결제
인터넷신규가입,결제
연간 보험료 30만원 이상 가입,결제
연 보험료 30만원 이상 가입,결제
월납보험료 2만원 이상 가입 시 지급,결제
월납보험료 1만원 이상 가입,결제
월납 1만원 이상 가입,결제
코인 구매,결제
조회된 휴면포인트로 영화티켓 교환,결제
회원가입 후 포인트 조회 및 사용,결제
NFT 수집,결제
1만원 이상 구매,결제
구매,결제
결제,결제
첫구매,결제
첫주문,결제
쿠폰팩 구매,결제
월 자동결제,결제
쿠폰팩 가입,결제
쇼츠 영상 보고 쇼핑하기,결제
첫 구매,결제
첫 주문,결제
참여 후 결제인증 비용 10원 결제,결제
더중앙플러스 이용권 구매,결제
1만원 이상 구매하면,결제
결제 인증 진행,결제
쿠팡 2만원 이상 구매,결제
쿠팡 4만원 이상 구매,결제
신규회원 1만원 이상 첫 구매,결제
트래블 콘디션 결제 및 콘텐츠 이용,결제
4만원 이상 구매 완료,결제
2만원 이상 구매 완료,결제
결제 및 콘텐츠 이용,결제
2만원이상 첫 구매,결제
결제 및 콘텐츠 이용 시,결제
서비스 구독,결제
기부완료(10만원) > 배송완료+구매확정,결제
이용권 구매,결제
회원가입 후 결제,결제
월 결제 신청,결제
운세보기,결제
운세 결제/구매 후 운세보기,결제
쇼핑 미션 참여하기,결제
카카오 톡딜 공유하기,단순 앱 활동
플레이스 Keep 공유하기 완료,단순 앱 활동
블로그 해시태그,단순 앱 활동
20만 포인트 적립,단순 앱 활동
적립코드 입력,단순 앱 활동
팔도비빔면II 투표,단순 앱 활동
클릭,단순 앱 활동
아이디어 응모 완료,단순 앱 활동
클릭하고 리워드 받기,단순 앱 활동
홈페이지 상세내용,단순 앱 활동
콘텐츠 보기,단순 앱 활동
응모하기 완료,단순 앱 활동
오늘의 명언 뽑기 완료,단순 앱 활동
행운의 복권긁기 완료,단순 앱 활동
무료 기부 참여,단순 앱 활동
클릭만 해도,단순 앱 활동
로또 등록,단순 앱 활동
상품 찜하기,단순 앱 활동
무신사 상품 찜하기,단순 앱 활동
29CM 상품 찜하기,단순 앱 활동
카카오 상품 찜,단순 앱 활동
상품 찜하고 스크린샷 제출하기,단순 앱 활동
네이버 상품 찜하기,단순 앱 활동
카카오 톡딜 상품찜,단순 앱 활동
위시리스트 추가,단순 앱 활동
카카오 상품 위시,단순 앱 활동
당근마켓 찜하기,단순 앱 활동
플레이스 저장 하기,단순 앱 활동
검색 후 플레이스 저장,단순 앱 활동
검색 후 플레이스저장,단순 앱 활동
 플레이스 저장 완료 시,단순 앱 활동
플레이스 저장,단순 앱 활동
네이버 플레이스 저장하기 완료,단순 앱 활동
플레이스 저장하기,단순 앱 활동
네이버 플레이스 장소명 입력하기,단순 앱 활동
네이버 플레이스 저장하기,단순 앱 활동
네이버 플레이스 해시태그 입력하기,단순 앱 활동
네이버 플레이스 리뷰찾기,단순 앱 활동
카카오맵 길찾기,단순 앱 활동
네이버 플레이스 메뉴&가격 입력하기,단순 앱 활동
검색 후 플레이스 저장 ,단순 앱 활동
블로그 리뷰 클릭 후 플레이스 저장,단순 앱 활동
네이버 플레이스 쿠폰 다운받고 저장하기,단순 앱 활동
카카오맵 저장하기,단순 앱 활동
네이버 플레이스 지도 거리 입력하기,단순 앱 활동
네이버맵 안내시작 클릭,단순 앱 활동
저장 미션 참여하기,단순 앱 활동
플레이스 keep 저장,단순 앱 활동
명소 길찾기 클릭 후 가장 빠른 거리 입력,단순 앱 활동
명소 찾기,단순 앱 활동
플레이스 명소 길찾기 거리입력,단순 앱 활동
저장하기,단순 앱 활동
네이버플레이스 저장하기 미션,단순 앱 활동
네이버맵 저장 후 길찾기,단순 앱 활동
플레이스 길찾기 거리입력,단순 앱 활동
SNS 계정 로그인 후 컬쳐랜드 계정 연동,단순 앱 활동
프로필 등록,단순 앱 활동
플레이스 캡쳐,단순 앱 활동
플레이스 저장 후 스크린샷 제출하기,단순 앱 활동
플레이스 저장 후 캡쳐하기,단순 앱 활동
플레이스 저장 후 스크린샷 제출 (리스트 공개 필수),단순 앱 활동
플레이스 저장 후 캡쳐,단순 앱 활동
플레이스 저장 후 스크린샷 등록,단순 앱 활동
플레이스 캡쳐 후 업로드,단순 앱 활동
플레이스 길찾기 캡쳐 후 업로드,단순 앱 활동
카카오맵 길찾기 캡쳐 후 업로드,단순 앱 활동
플레이스 길찾기 업로드 후 캡쳐,단순 앱 활동
플레이스 저장 후 캡쳐 (리스트 공개 필수),단순 앱 활동
카카오맵 길찾기 캡쳐 후 업로드캡쳐,단순 앱 활동
카카오맵 길찾기 후 스크린샷 제출,단순 앱 활동
플레이스 저장 후 Keep 캡쳐 업로드,단순 앱 활동
플레이스 저장 후 Keep 캡쳐,단순 앱 활동
네이버맵 길찾기 후 스크린샷 제출,단순 앱 활동
플레이스 저장 후 KEEP 캡처 스크린샷 제출 (리스트 공개 필수),단순 앱 활동
플레이스 저장 후 KEEP 캡처,단순 앱 활동
저장 후 KEEP 캡처,단순 앱 활동
검색 후 저장하기 (스샷제출) 완료,단순 앱 활동
저장하기 (스샷제출) 완료,단순 앱 활동
플레이스 저장 후 스크린샷 제출,단순 앱 활동
T맵 도착지점 설정 후 스크린샷 업로드하기,단순 앱 활동
플레이스 저장 후 스크린샷 제출 ,단순 앱 활동
네이버지도 길찾기 후 스크린샷 제출,단순 앱 활동
네이버 플레이스 저장하기(이미지업로드+명소),단순 앱 활동
검색 후 저장 스샷 제출 ,단순 앱 활동
검색 후 저장 스샷 제출,단순 앱 활동
참여,단순 앱 활동
스크린샷 업로드,단순 앱 활동
"플레이스 저장 후 KEEP 캡처, 스크린샷 제출 (리스트 공개 필수)",단순 앱 활동
영화 내용과 관련한 리뷰 작성,리뷰/ 게시글/ 댓글
쇼핑라이브하트+채팅,리뷰/ 게시글/ 댓글
후기 등록하기,리뷰/ 게시글/ 댓글
별점 5점 & 리뷰 작성,리뷰/ 게시글/ 댓글
리뷰 작성,리뷰/ 게시글/ 댓글
후기작성,리뷰/ 게시글/ 댓글
유튜브 보고 댓글 달기,리뷰/ 게시글/ 댓글
"「소중해졌다」편 '공감', '추억' 키워드 댓글달기",리뷰/ 게시글/ 댓글
"「너 때문에 산다」편 '공감', '추억' 키워드 댓글달기",리뷰/ 게시글/ 댓글
"연금', '투자' 키워드 넣어서 댓글달기",리뷰/ 게시글/ 댓글
커뮤니티 글 게시하기,리뷰/ 게시글/ 댓글
답글 작성,리뷰/ 게시글/ 댓글
받기,설치/ 실행
최초 오픈,설치/ 실행
참여하기,설치/ 실행
오픈하기,설치/ 실행
매일 첫 실행하기 ,설치/ 실행
7일 이내에 앱설치 및 실행,설치/ 실행
Install the game!,설치/ 실행
캐릭터 생성,설치/ 실행
15일차 완료,설치/ 실행
15일차 완료 ,설치/ 실행
3개 게임 5분씩 플레이 완료,설치/ 실행
아무 게임이나 다운받고 첫 리워드 받기,설치/ 실행
이틀 연속 출석체크 완료,설치/ 실행
접속하기,설치/ 실행
이틀 연속 출석체크,설치/ 실행
당신의 유플러스 방문하기,설치/ 실행
다함께 차차차 방문하기,설치/ 실행
방문하기,설치/ 실행
쿠팡 둘러보기,설치/ 실행
네이버맵 저장 후 길찾기_앱 설치 필수,설치/ 실행
SNS 로그인,설치/ 실행
카카오 로그인 후 본인인증,설치/ 실행
SNS 로그인을 완료,설치/ 실행
시작하려면 앱을 설치하세요.,설치/ 실행
신규 설치 후 메인페이지 내 SRT탭 클릭,설치/ 실행
최초 로그인,설치/ 실행
앱 최초 접속 시,설치/ 실행
최초 신규가입 후 로우바둑이 15판 완료,설치/ 실행
한게임 포커 최초 가입 후 7포커 15판 플레이 완료 시 ,설치/ 실행
10판 플레이,설치/ 실행
1시간 이상 플레이 후 바우처 획득 완료,설치/ 실행
30회 클리어,설치/ 실행
플랫폼 내에서 60분 동안 플레이,설치/ 실행
앱에서 아무 게임이나 45분 동안 플레이하고 바우처를 획득,설치/ 실행
Money Cash 앱에서 아무 게임이나 45분 동안 플레이하고 바우처 회득,설치/ 실행
day 8을 완료,설치/ 실행
플레이 100 회 ,설치/ 실행
홀덤 or 바카라 10판 플레이,설치/ 실행
20초 이상 체류,설치/ 실행
20초 이상 시청,설치/ 실행
20초 이상,설치/ 실행
30초 이상 체류,설치/ 실행
30초 동안 체류 후 참여 페이지로 돌아오기,설치/ 실행
페이지 이동 후 20초 이상 머물기,설치/ 실행
랜딩 페이지로 이동 후 30초 동안 체류,설치/ 실행
방송보기,설치/ 실행
클릭 후 10초 이상 체류,설치/ 실행
클릭 후 5초동안 상품구경,설치/ 실행
클릭 후 3초동안 상품구경,설치/ 실행
쇼핑 스마일케어 방문하기,설치/ 실행
구독,알림/ 좋아요
채널 추가하기,알림/ 좋아요
팔로우,알림/ 좋아요
채널추가,알림/ 좋아요
채널 추가,알림/ 좋아요
구독+좋아,알림/ 좋아요
와디즈 팔로우 하기,알림/ 좋아요
카카오톡 채널 추가,알림/ 좋아요
카카오톡 채널추가,알림/ 좋아요
플러스친구 추가,알림/ 좋아요
친구 추가,알림/ 좋아요
인스타그램 팔로워 늘리기 완료 ,알림/ 좋아요
인스타그램 게시물 좋아요 완료,알림/ 좋아요
뉴스레터 구독 완료,알림/ 좋아요
좋아요,알림/ 좋아요
블로그 이웃추가,알림/ 좋아요
유튜브 구독,알림/ 좋아요
블로그 이웃신청하기,알림/ 좋아요
NH농협은행 인스타그램 팔로우하고 리워드 받자!,알림/ 좋아요
NH농협은행 유튜브 구독하고 리워드 받자!,알림/ 좋아요
NH농협은행 페이스북 팔로우하고 리워드 받자!,알림/ 좋아요
경기일보 네이버뉴스 구독,알림/ 좋아요
팔로잉,알림/ 좋아요
카카오톡 채널 추가하기,알림/ 좋아요
카카오톡 플러스 친구추가,알림/ 좋아요
카카오스토리 소식받기,알림/ 좋아요
팔로우 후 친한 친구 추가,알림/ 좋아요
인스타그램 게시글 좋아요 완료,알림/ 좋아요
카카오톡 채널 추가 후 스크린샷 제출,알림/ 좋아요
클릭메이트 단골맺기,알림/ 좋아요
당근마켓 단골맺기,알림/ 좋아요
에이블리 마켓 찜하기,알림/ 좋아요
하이버 마켓 찜하기,알림/ 좋아요
4910 마켓 찜하기,알림/ 좋아요
카카오 톡딜 브랜드찜,알림/ 좋아요
만기알림 서비스 신청,알림/ 좋아요
롯데 미니암보험 마케팅 수신 동의,알림/ 좋아요
롯데 미니뇌심보험 마케팅 수신 동의,알림/ 좋아요
자동차보험 만기알람 서비스 신청,알림/ 좋아요
알림신청,알림/ 좋아요
알림받기 완료,알림/ 좋아요
알림 받기,알림/ 좋아요
사전 알람 신청,알림/ 좋아요
스토어 알림받기,알림/ 좋아요
와디즈 알림 신청하기,알림/ 좋아요
스토어 알림 받기,알림/ 좋아요
네이버 쇼핑 알림받기,알림/ 좋아요
스토어 알림받기 완료 시,알림/ 좋아요
삼성닷컴 알림신청받기 완료,알림/ 좋아요
검색 후 플레이스 알림 받기,알림/ 좋아요
검색 후 플레이스 알림받기,알림/ 좋아요
사전등록 알람 신청,알림/ 좋아요
이벤트 참여,퀘스트/ 스테이지 클리어
가이드 퀘스트 30 달성,퀘스트/ 스테이지 클리어
Lv.120 도달,퀘스트/ 스테이지 클리어
레벨 10 완료,퀘스트/ 스테이지 클리어
맵 5 상하이 맵 통과,퀘스트/ 스테이지 클리어
오렌지 영웅 1명 받기,퀘스트/ 스테이지 클리어
레벨 10 도달,퀘스트/ 스테이지 클리어
"100,000코인 획득",퀘스트/ 스테이지 클리어
월드 5 클리어,퀘스트/ 스테이지 클리어
보드 11 클리어,퀘스트/ 스테이지 클리어
"스코어 90,000 획득하기",퀘스트/ 스테이지 클리어
"포인트 200,000 획득하기",퀘스트/ 스테이지 클리어
레벨 3000 달성하기,퀘스트/ 스테이지 클리어
"스코어 150,000 획득하기",퀘스트/ 스테이지 클리어
레벨 201 달성,퀘스트/ 스테이지 클리어
깊이 3900M 도달,퀘스트/ 스테이지 클리어
영주성 레벨 5달성,퀘스트/ 스테이지 클리어
영주성 레벨 10달성,퀘스트/ 스테이지 클리어
금광 스테이지 잠금 해제,퀘스트/ 스테이지 클리어
공명 레벨 140 달성,퀘스트/ 스테이지 클리어
15.윈스버그 도달,퀘스트/ 스테이지 클리어
레벨 110 달성,퀘스트/ 스테이지 클리어
스테이지15 클리어,퀘스트/ 스테이지 클리어
레벨 20 달성,퀘스트/ 스테이지 클리어
레벨8 도달,퀘스트/ 스테이지 클리어
100레벨 클리어,퀘스트/ 스테이지 클리어
레벨125 클리어,퀘스트/ 스테이지 클리어
"240,000 점수 획득하기",퀘스트/ 스테이지 클리어
레벨12 도달,퀘스트/ 스테이지 클리어
계정레벨 4 달성,퀘스트/ 스테이지 클리어
"3,500점 달성하기",퀘스트/ 스테이지 클리어
레벨 60 달성,퀘스트/ 스테이지 클리어
본부 레벨 14 도달,퀘스트/ 스테이지 클리어
레벨 600 클리어,퀘스트/ 스테이지 클리어
레벨 21 달성,퀘스트/ 스테이지 클리어
레벨 16 달성,퀘스트/ 스테이지 클리어
월드3(캐나다) 스테이지7(이탈리안 레스토랑) 시작,퀘스트/ 스테이지 클리어
레벨 41 달성,퀘스트/ 스테이지 클리어
영주성 레벨 8 달성,퀘스트/ 스테이지 클리어
레벨 10을 달성,퀘스트/ 스테이지 클리어
170레벨 성공,퀘스트/ 스테이지 클리어
여왕개미 Lv.12 클리어,퀘스트/ 스테이지 클리어
슛 배우기를 완료,퀘스트/ 스테이지 클리어
상파울루 해제하기,퀘스트/ 스테이지 클리어
멕시코 시티 해제하기,퀘스트/ 스테이지 클리어
Level 30도달,퀘스트/ 스테이지 클리어
스테이지 1-10을 시도,퀘스트/ 스테이지 클리어
레벨25 클리어,퀘스트/ 스테이지 클리어
레벨 200 달성,퀘스트/ 스테이지 클리어
레벨 25 달성,퀘스트/ 스테이지 클리어
7레벨 클리어,퀘스트/ 스테이지 클리어
보드 18 클리어,퀘스트/ 스테이지 클리어
250 단계 완료,퀘스트/ 스테이지 클리어
챕터 20 달성,퀘스트/ 스테이지 클리어
"Chapter4, wave1 도달",퀘스트/ 스테이지 클리어
개척레벨 25 도달,퀘스트/ 스테이지 클리어
레벨 300 클리어,퀘스트/ 스테이지 클리어
레벨 250 달성,퀘스트/ 스테이지 클리어
level 201도달,퀘스트/ 스테이지 클리어
level 201도달),퀘스트/ 스테이지 클리어
레벨 20을 완료,퀘스트/ 스테이지 클리어
맵 5 상하이 클리어(5-7 클리어),퀘스트/ 스테이지 클리어
레벨 100 도달 ,퀘스트/ 스테이지 클리어
레벨 500 완료,퀘스트/ 스테이지 클리어
레벨 130 도달 ,퀘스트/ 스테이지 클리어
"Chapter3,wave1 도달",퀘스트/ 스테이지 클리어
"Chapter3, wave1 도달",퀘스트/ 스테이지 클리어
Level600 달성,퀘스트/ 스테이지 클리어
Challenge 20 클리어,퀘스트/ 스테이지 클리어
레벨 25 완료,퀘스트/ 스테이지 클리어
레벨 250 클리어,퀘스트/ 스테이지 클리어
