KEY,DATE,TIME,MDA,TIME_CLK,TIME_TURN,ADV_COST,REWARD_COST,MDA_COST,CVR,1000_W_EFFICIENCY,SCH_KEY,NAME,SAVE_WAY,GUIDE,OS_TYPE,REJOIN_TYPE,CONTRACT_PRICE,START_DATE,END_DATE,START_QUARTER,START_TIME,RPT_TYPE,MDA_ARR,TURN_GOAL,TURN_REAL
181046,2025-03-24,1970-01-01 00:00:04.000,563,2,2,40,28,28,100.00,50.0000,646951,[저장] 황남샌드,플레이스 저장,"[참여방법]
- 미션 참여 방법을 꼭 확인하신 후 참여해 주세요.
- 제공되는 가이드를 참고하시면 쉽게 정답을 찾을 수 있습니다.

[주의사항]
- 장소 또는 상품 페이지에 30초 이상 머물러 주세요.
- 광고로 표시된 상품은 클릭하지 마세요.
- 저장 미션 완료 후 저장을 취소하면 포인트 지급이 취소됩니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.
- 부정 참여 적발시 모든 미션의 참여가 제한됩니다.",WEB,NONE,20,2025-03-22 11:31:43.000,9999-12-31 23:59:59.000,1Q,MORNING,A,ALL,100000,165
390111,2025-06-17,1970-01-01 00:00:21.000,563,1,1,18,14,14,100.00,55.5560,1128785,[정답입력]뚝섬 굴보쌈,네이버 플레이스 지도 거리 입력하기,"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,ADS_CODE_DAILY_UPDATE,18,2025-06-17 12:49:19.000,9999-12-31 23:59:59.000,2Q,AFTERNOON,A,ALL,100000,54
88423,2024-08-11,1970-01-01 00:00:20.000,413,1,1,20,8,17,100.00,50.0000,471417,[플레이스 퀴즈] 서양식탁 (922),플레이스 퀴즈 맞추기,"[참여 방법]
1. 검색 키워드를 복사하기
2. 확인하기 클릭 후 키워드를 붙여넣고 검색하기
3. 미션 페이지에서 요구하는 정답 찾기
4. 미션 페이지에 정답 입력

[주의 사항]
· 30초 동안 플레이스에 체류하고 계셔야 정상적으로 적립됩니다.",WEB,NONE,20,2024-08-11 00:10:27.000,9999-12-31 23:59:59.000,3Q,EARLY MORNING,A,ALL,100000,1052
276795,2025-04-05,1970-01-01 00:00:17.000,563,4,3,54,42,42,75.00,55.5560,870480,JHP 마스크팩 비... (검색 후 퀴즈맞추기) 3176,쇼핑 퀴즈 맞추기,"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,NONE,18,2025-04-05 00:28:18.000,9999-12-31 23:59:59.000,2Q,EARLY MORNING,A,ALL,100000,3
351081,2025-04-21,1970-01-01 00:00:07.000,54,1,1,18,12,12,100.00,55.5560,1057179,[정답입력]버버리 위크앤드 우먼,네이버 쇼핑 상품번호 입력하기,"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,ADS_CODE_DAILY_UPDATE,18,2025-04-20 15:58:57.000,9999-12-31 23:59:59.000,2Q,AFTERNOON,A,ALL,100000,74
82688,2024-08-04,1970-01-01 00:00:16.000,761,20,7,210,147,147,35.00,33.3330,459821,[플레이스 저장] 팔도식당 성산 섭지코지점,플레이스 저장 하기,"[참여 방법]
1. 검색 키워드를 복사하기
2. 플레이스를 저장하러 가기 후 키워드를 붙여넣고 검색하기
3. 플레이스 내 장소를 저장하고 스크린샷 캡처하기
4. 업체 플레이스의 스크린샷을 제출하기 (최초 1회만 참여 가능)

[주의 사항]
· 30일 이내에 저장하기를 해제할 경우, 이후 광고 참여가 제한됩니다.
· 1인 1회 참여 가능합니다.",WEB,NONE,30,2024-08-04 00:09:24.000,9999-12-31 23:59:59.000,3Q,EARLY MORNING,A,ALL,100000,621
113423,2024-11-06,1970-01-01 00:00:18.000,563,3,2,36,28,28,66.67,55.5560,520635,누디르여성청결제 맞추기 11.6,퀴즈 맞추기,"리뷰클릭후 주소창 복사붙여넣어 맞추기

사진을 참고해서 해당상품 클릭해보세요!．
연동딜레이로 인해 제목과 광고내용이 
다르게 보이는 현상이 있는 경우 
안내이미지에 맞춰서 정답을 맞춰주세요

1. 사진을 참고해서 해당상품 클릭하고 상품 구경하기

2. 리뷰 버튼 클릭하고 상품리뷰 구경하기

3. 상단의 주소창을 복사해서 정답란에 붙여넣기

4. 적립완료

* 부정적인 방법을 사용하시는 회원님들은 
적립금환수와 광고참여가 정지됩니다
*광고가 아닌 실제순위에서 클릭해서 
퀴즈에 참여하셔야합니다.",WEB,NONE,18,2024-11-06 17:05:59.000,9999-12-31 23:59:59.000,4Q,AFTERNOON,A,ALL,100000,133
140076,2025-01-16,1970-01-01 00:00:21.000,562,4,3,54,42,42,75.00,55.5560,566700,아이엔지홈 올리버 ... (검색 후 퀴즈맞추기) 8618,쇼핑 퀴즈 맞추기,"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,NONE,18,2025-01-16 16:17:45.000,9999-12-31 23:59:59.000,1Q,AFTERNOON,A,ALL,100000,133
174559,2025-03-14,1970-01-01 00:00:16.000,1012,1,0,0,0,0,0.00,,634676,JS / 류센소 범어점,플레이스 저장,"[참여방법]
- 미션 참여 방법을 꼭 확인하신 후 참여해 주세요.
- 제공되는 가이드를 참고하시면 쉽게 정답을 찾을 수 있습니다.

[주의사항]
- 장소 또는 상품 페이지에 30초 이상 머물러 주세요.
- 광고로 표시된 상품은 클릭하지 마세요.
- 저장 미션 완료 후 저장을 취소하면 포인트 지급이 취소됩니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.
- 부정 참여 적발시 모든 미션의 참여가 제한됩니다.",WEB,NONE,20,2025-03-14 14:58:02.000,9999-12-31 23:59:59.000,1Q,AFTERNOON,A,ALL,100000,11
134741,2025-01-10,1970-01-01 00:00:11.000,563,2,0,0,0,0,0.00,,556204,[정답입력] 상상이상 220V 신발건조기,네이버 상품 해시태그,"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,ADS_CODE_DAILY_UPDATE,18,2025-01-07 00:05:46.000,9999-12-31 23:59:59.000,1Q,EARLY MORNING,A,ALL,100000,36
118019,2024-11-25,1970-01-01 00:00:01.000,562,2,1,30,20,20,50.00,33.3330,528991,[플레이스 저장] 호낙가 더가든 일산 본점 (5383),플레이스 저장 하기,"[참여 방법]
1. 검색 키워드를 복사하기
2. 플레이스를 저장하러 가기 후 키워드를 붙여넣고 검색하기
3. 플레이스에서 해당 저장 후 [내장소]를 클릭하여 저장한 리스트 진입하기
4. 방금 저장한 업체명을 클릭하여 지도 > 주변 정류장 순으로 클릭 후 URL 복사하여 정답 제출하기

[주의 사항]
· 30일 이내에 저장하기를 해제할 경우, 이후 광고 참여가 제한됩니다.
· 1인 1회 참여 가능합니다.",WEB,NONE,30,2024-11-22 00:14:18.000,9999-12-31 23:59:59.000,4Q,EARLY MORNING,A,ALL,100000,378
100356,2024-09-26,1970-01-01 00:00:15.000,371,2,1,15,10,10,50.00,66.6670,496068,대성 누전차단 맞추기 9.26,퀴즈 맞추기,"리뷰클릭후 주소창 복사붙여넣어 맞추기

8위안에 있습니다.
대성이엔에스를 기억하셔요

사진을 참고해서 해당상품 클릭해보세요!．
연동딜레이로 인해 제목과 광고내용이 
다르게 보이는 현상이 있는 경우 
안내이미지에 맞춰서 정답을 맞춰주세요

1. 사진을 참고해서 해당상품 클릭하고 상품 구경하기

2. 리뷰 버튼 클릭하고 상품리뷰 구경하기

3. 상단의 주소창을 복사해서 정답란에 붙여넣기

4. 적립완료

* 부정적인 방법을 사용하시는 회원님들은 
적립금환수와 광고참여가 정지됩니다
*광고가 아닌 실제순위에서 클릭해서 
퀴즈에 참여하셔야합니다.",WEB,NONE,15,2024-09-26 10:09:06.000,9999-12-31 23:59:59.000,3Q,MORNING,A,ALL,100000,46
182384,2025-03-30,1970-01-01 00:00:01.000,270,3,1,230,126,126,33.33,4.3480,649601,네이버플러스 스토어,최초 오픈,"[참여 방법]
1. 광고 참여 버튼 터치하여 마켓으로 이동
2. App 최초 오픈 후 광고 추적허용 동의 (IOS필수)

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 광고 추적허용 동의하지 않은 경우 적립되지 않습니다. (iOS 한정)
- 이미 참여한 이력이 있다면 포인트가 지급되지 않습니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",ANDROID,NONE,230,2025-03-24 15:22:05.000,9999-12-31 23:59:59.000,1Q,AFTERNOON,A,ALL,100000,14646
351370,2025-04-26,1970-01-01 00:00:08.000,563,1,1,20,14,14,100.00,50.0000,1057688,올히 삼산 오리 점심 추천,플레이스 저장,"[참여방법]
- 미션 참여 방법을 꼭 확인하신 후 참여해 주세요.
- 제공되는 가이드를 참고하시면 쉽게 정답을 찾을 수 있습니다.

[주의사항]
- 장소 또는 상품 페이지에 30초 이상 머물러 주세요.
- 광고로 표시된 상품은 클릭하지 마세요.
- 저장 미션 완료 후 저장을 취소하면 포인트 지급이 취소됩니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.
- 부정 참여 적발시 모든 미션의 참여가 제한됩니다.",WEB,NONE,20,2025-04-22 00:12:57.000,9999-12-31 23:59:59.000,2Q,EARLY MORNING,A,ALL,100000,121
115769,2024-12-17,1970-01-01 00:00:11.000,637,1,1,230,90,180,100.00,4.3480,524883,우리동네GS,최초 오픈,"[참여 방법]
1. 광고 참여 버튼 터치하여 마켓으로 이동
2. App 최초 오픈 후 광고 추적허용 동의 (IOS필수)

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 광고 추적허용 동의하지 않은 경우 적립되지 않습니다. (iOS 한정)
- 이미 참여한 이력이 있다면 포인트가 지급되지 않습니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",ANDROID,NONE,230,2024-11-14 14:26:52.000,9999-12-31 23:59:59.000,4Q,AFTERNOON,A,ALL,100000,40706
85085,2024-08-06,1970-01-01 00:00:19.000,54,2,2,40,28,28,100.00,50.0000,464883,[플레이스 퀴즈] 야부리 수성못점,플레이스 퀴즈 맞추기,"[참여 방법]
1. 검색 키워드를 복사하기
2. 확인하기 클릭 후 키워드를 붙여넣고 검색하기
3. 미션 페이지에서 요구하는 정답 찾기
4. 미션 페이지에 정답 입력

[주의 사항]
· 30초 동안 플레이스에 체류하고 계셔야 정상적으로 적립됩니다.",WEB,NONE,20,2024-08-06 14:59:38.000,9999-12-31 23:59:59.000,3Q,AFTERNOON,A,ALL,100000,559
85303,2024-08-09,1970-01-01 00:00:09.000,563,1,1,18,14,14,100.00,55.5560,465276,마롤로뜨 테리 모달 아기턱받이 맞추기 8.6,퀴즈 맞추기,"리뷰클릭후 주소창 복사붙여넣어 맞추기

사진을 참고해서 해당상품 클릭해보세요!．
연동딜레이로 인해 제목과 광고내용이 
다르게 보이는 현상이 있는 경우 
안내이미지에 맞춰서 정답을 맞춰주세요

1. 사진을 참고해서 해당상품 클릭하고 상품 구경하기

2. 리뷰 버튼 클릭하고 상품리뷰 구경하기

3. 상단의 주소창을 복사해서 정답란에 붙여넣기

4. 적립완료

* 부정적인 방법을 사용하시는 회원님들은 
적립금환수와 광고참여가 정지됩니다
*광고가 아닌 실제순위에서 클릭해서 
퀴즈에 참여하셔야합니다.",WEB,NONE,18,2024-08-07 00:08:51.000,9999-12-31 23:59:59.000,3Q,EARLY MORNING,A,ALL,100000,258
90660,2024-08-18,1970-01-01 00:00:15.000,371,4,2,30,20,20,50.00,66.6670,475617,네팜 루피니빈 900g 맞추기 8.17,퀴즈 맞추기,"리뷰클릭후 주소창 복사붙여넣어 맞추기

사진을 참고해서 해당상품 클릭해보세요!．
연동딜레이로 인해 제목과 광고내용이 
다르게 보이는 현상이 있는 경우 
안내이미지에 맞춰서 정답을 맞춰주세요

1. 사진을 참고해서 해당상품 클릭하고 상품 구경하기

2. 리뷰 버튼 클릭하고 상품리뷰 구경하기

3. 상단의 주소창을 복사해서 정답란에 붙여넣기

4. 적립완료

* 부정적인 방법을 사용하시는 회원님들은 
적립금환수와 광고참여가 정지됩니다
*광고가 아닌 실제순위에서 클릭해서 
퀴즈에 참여하셔야합니다.",WEB,NONE,15,2024-08-17 10:09:53.000,9999-12-31 23:59:59.000,3Q,MORNING,A,ALL,100000,75
89998,2024-08-22,1970-01-01 00:00:07.000,667,1,0,0,0,0,0.00,,474414,[플레이스 저장] 도약 여의도본점 (1410),참여,"[참여 방법]
1. 검색 키워드를 복사하기
2. 플레이스를 저장하러 가기 후 키워드를 붙여넣고 검색하기
3. 플레이스에서 해당 저장 후 [내장소]를 클릭하여 저장한 리스트 진입하기
4. 방금 저장한 업체명을 클릭하여 지도 > 주변 정류장 순으로 클릭 후 URL 복사하여 정답 제출하기

[주의 사항]
· 30일 이내에 저장하기를 해제할 경우, 이후 광고 참여가 제한됩니다.
· 1인 1회 참여 가능합니다.",WEB,NONE,30,2024-08-15 00:09:46.000,9999-12-31 23:59:59.000,3Q,EARLY MORNING,A,ALL,100000,2313
94314,2024-09-05,1970-01-01 00:00:10.000,761,36,0,0,0,0,0.00,,484664,[플레이스 저장] 수랑화 (1916),플레이스 저장 하기,"[참여 방법]
1. 검색 키워드를 복사하기
2. 플레이스를 저장하러 가기 후 키워드를 붙여넣고 검색하기
3. 플레이스에서 해당 저장 후 [내장소]를 클릭하여 저장한 리스트 진입하기
4. 방금 저장한 업체명을 클릭하여 지도 > 주변 정류장 순으로 클릭 후 URL 복사하여 정답 제출하기

[주의 사항]
· 30일 이내에 저장하기를 해제할 경우, 이후 광고 참여가 제한됩니다.
· 1인 1회 참여 가능합니다.",WEB,NONE,30,2024-09-05 00:07:56.000,9999-12-31 23:59:59.000,3Q,EARLY MORNING,A,ALL,100000,0
384690,2025-08-24,1970-01-01 00:00:07.000,646,1,0,0,0,0,0.00,,1118793,알바천국,최초 오픈,"[참여 방법]
1. 광고 참여 버튼 터치하여 마켓으로 이동
2. App 최초 오픈 후 광고 추적허용 동의 (IOS필수)

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 광고 추적허용 동의하지 않은 경우 적립되지 않습니다. (iOS 한정)
- 이미 참여한 이력이 있다면 포인트가 지급되지 않습니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",ANDROID,NONE,230,2025-06-11 13:32:37.000,9999-12-31 23:59:59.000,2Q,AFTERNOON,A,ALL,100000,21906
168793,2025-03-17,1970-01-01 00:00:18.000,371,1,0,0,0,0,0.00,,623783,가연 운정점,플레이스 저장 후 캡쳐 (리스트 공개 필수),플레이스 저장 후 캡쳐 (리스트 공개 필수),WEB,NONE,18,2025-03-07 10:43:50.000,9999-12-31 23:59:59.000,1Q,MORNING,A,ALL,100000,22
110687,2024-10-28,1970-01-01 00:00:22.000,568,1,1,15,5,10,100.00,66.6670,515278,남자니까 피토메스화장품 맞추기 10.28,퀴즈 맞추기,"피토메스 안티포어 리뷰클릭후 주소창 복사붙여넣어 맞추기

2종입니다!
9위정도에 있습니다 
피토메스기억해주세요

사진을 참고해서 해당상품 클릭해보세요!．
연동딜레이로 인해 제목과 광고내용이 
다르게 보이는 현상이 있는 경우 
안내이미지에 맞춰서 정답을 맞춰주세요

1. 사진을 참고해서 해당상품 클릭하고 상품 구경하기

2. 리뷰 버튼 클릭하고 상품리뷰 구경하기

3. 상단의 주소창을 복사해서 정답란에 붙여넣기

4. 적립완료

* 부정적인 방법을 사용하시는 회원님들은 
적립금환수와 광고참여가 정지됩니다
*광고가 아닌 실제순위에서 클릭해서 
퀴즈에 참여하셔야합니다.",WEB,NONE,15,2024-10-28 10:11:51.000,9999-12-31 23:59:59.000,4Q,MORNING,A,ALL,100000,70
91789,2024-08-25,1970-01-01 00:00:03.000,562,4,4,120,80,80,100.00,33.3330,477730,[플레이스 저장] 마장동생고기 구갈점 (1610),플레이스 저장 하기,"[참여 방법]
1. 검색 키워드를 복사하기
2. 플레이스를 저장하러 가기 후 키워드를 붙여넣고 검색하기
3. 플레이스 내 장소를 저장하고 스크린샷 캡처하기
4. 업체 플레이스의 스크린샷을 제출하기 (최초 1회만 참여 가능)

[주의 사항]
· 30일 이내에 저장하기를 해제할 경우, 이후 광고 참여가 제한됩니다.
· 1인 1회 참여 가능합니다.",WEB,NONE,30,2024-08-22 15:32:47.000,9999-12-31 23:59:59.000,3Q,AFTERNOON,A,ALL,100000,717
358897,2025-05-04,1970-01-01 00:00:09.000,634,1,1,15,5,10,100.00,66.6670,1073361,고순도징코 맞추기 5.3,퀴즈 맞추기,"리뷰클릭후 주소창 복사붙여넣어 맞추기

사진을 참고해서 해당상품 클릭해보세요!．
연동딜레이로 인해 제목과 광고내용이 
다르게 보이는 현상이 있는 경우 
안내이미지에 맞춰서 정답을 맞춰주세요

1. 사진을 참고해서 해당상품 클릭하고 상품 구경하기

2. 리뷰 버튼 클릭하고 상품리뷰 구경하기

3. 상단의 주소창을 복사해서 정답란에 붙여넣기

4. 적립완료

* 부정적인 방법을 사용하시는 회원님들은 
적립금환수와 광고참여가 정지됩니다
*광고가 아닌 실제순위에서 클릭해서 
퀴즈에 참여하셔야합니다.",WEB,NONE,15,2025-05-03 13:07:47.000,9999-12-31 23:59:59.000,2Q,AFTERNOON,A,ALL,100000,34
358723,2025-05-05,1970-01-01 00:00:09.000,634,1,1,20,7,14,100.00,50.0000,1073041,[저장하기]불당동한우전문점-20250430-18,네이버 플레이스 저장하기(이미지업로드+퀴즈),"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,ADS_CODE_DAILY_UPDATE,20,2025-05-03 08:27:36.000,9999-12-31 23:59:59.000,2Q,MORNING,A,ALL,100000,122
